theta1,theta2,thetaPunto1,thetaPunto2
-1.12534,0.443392,-0.223856,-1.01269
-1.12712,0.433046,-0.131243,-1.05632
-1.12796,0.422269,-0.0379728,-1.09906
-1.12787,0.411068,0.0559388,-1.14116
-1.12684,0.399448,0.15048,-1.18291
-1.12486,0.387411,0.245644,-1.22455
-1.12193,0.374957,0.341428,-1.26637
-1.11803,0.362083,0.437836,-1.30864
-1.11317,0.348783,0.534881,-1.35165
-1.10733,0.335048,0.632584,-1.39569
-1.10051,0.320866,0.730978,-1.44104
-1.09271,0.306223,0.830105,-1.48802
-1.08391,0.291101,0.930022,-1.53691
-1.07411,0.275479,1.0308,-1.58802
-1.06329,0.259333,1.13252,-1.64167
-1.05146,0.242638,1.23529,-1.69818
-1.03859,0.225362,1.33922,-1.75786
-1.02467,0.207471,1.44445,-1.82104
-1.00969,0.188931,1.55112,-1.88805
-0.993644,0.1697,1.6594,-1.95923
-0.976503,0.149735,1.76948,-2.03491
-0.958251,0.12899,1.88155,-2.11543
-0.938869,0.107415,1.99582,-2.2011
-0.918332,0.0849562,2.11249,-2.29224
-0.896615,0.0615581,2.23177,-2.38913
-0.873693,0.0371619,2.35387,-2.49202
-0.849535,0.0117067,2.47893,-2.60109
-0.824112,-0.0148698,2.60708,-2.71642
-0.797392,-0.0426303,2.73836,-2.83797
-0.769345,-0.0716359,2.87266,-2.96549
-0.73994,-0.101944,3.00974,-3.09846
-0.709153,-0.133606,3.14906,-3.23599
-0.676964,-0.166661,3.28974,-3.37661
-0.643366,-0.20113,3.43034,-3.5181
-0.60837,-0.237008,3.56868,-3.65712
-0.572012,-0.274247,3.70148,-3.7888
-0.534371,-0.312741,3.82409,-3.90628
-0.49558,-0.352304,3.93023,-4.00042
-0.45584,-0.392645,4.01234,-4.06025
-0.415434,-0.433363,4.06271,-4.07457
-0.374712,-0.473956,4.07553,-4.03486
-0.33406,-0.513864,4.04909,-3.93837
-0.293857,-0.55254,3.98678,-3.78955
-0.254425,-0.589508,3.8961,-3.59868
-0.216,-0.624415,3.78638,-3.37872
-0.178728,-0.657031,3.66651,-3.14207
-0.142674,-0.687243,3.54354,-2.89868
-0.107843,-0.715018,3.42236,-2.65556
-0.0742016,-0.740382,3.30597,-2.41707
-0.0416935,-0.763395,3.19594,-2.18565
-0.0102516,-0.784134,3.09285,-1.96238
0.0201938,-0.802682,2.99669,-1.74751
0.0497104,-0.819121,2.9071,-1.54083
0.0783612,-0.833532,2.82351,-1.34186
0.106203,-0.845988,2.74529,-1.15003
0.133287,-0.856559,2.67177,-0.964716
0.159655,-0.865307,2.60228,-0.785346
0.185346,-0.872288,2.5362,-0.611379
0.210391,-0.877554,2.47292,-0.442336
0.234814,-0.881152,2.41188,-0.277801
0.258636,-0.883126,2.35256,-0.117415
0.281871,-0.883515,2.29446,0.0391213
0.304529,-0.882356,2.23715,0.192059
0.326616,-0.879686,2.18019,0.341601
0.348134,-0.875535,2.12319,0.487915
0.369079,-0.869938,2.06579,0.631129
0.389447,-0.862923,2.00764,0.771349
0.409229,-0.85452,1.94843,0.908654
0.428412,-0.844759,1.88786,1.04311
0.446981,-0.833667,1.82566,1.17476
0.464919,-0.821272,1.76159,1.30365
0.482206,-0.807602,1.69542,1.42982
0.49882,-0.792684,1.62694,1.55331
0.514736,-0.776544,1.55596,1.67415
0.52993,-0.759209,1.48232,1.79241
0.544373,-0.740703,1.40587,1.90815
0.558037,-0.721053,1.3265,2.02144
0.570892,-0.700282,1.24409,2.13239
0.582908,-0.678412,1.15855,2.2411
0.594052,-0.655466,1.06982,2.34773
0.604293,-0.631464,0.977841,2.45243
0.613598,-0.606423,0.882573,2.55541
0.621934,-0.580361,0.783987,2.65688
0.629267,-0.55329,0.682071,2.7571
0.635564,-0.525223,0.576816,2.85634
0.640792,-0.496166,0.468225,2.95491
0.644918,-0.466127,0.356306,3.05315
0.647908,-0.435105,0.241072,3.15142
0.64973,-0.403099,0.12254,3.25011
0.65035,-0.370102,0.000732957,3.34961
0.649736,-0.336105,-0.124322,3.45033
0.647856,-0.301093,-0.252588,3.5527
0.644677,-0.265048,-0.384015,3.65711
0.640169,-0.227948,-0.518528,3.76396
0.634301,-0.189766,-0.656021,3.87356
0.627045,-0.150473,-0.796334,3.98618
0.618372,-0.110039,-0.939232,4.10196
0.60826,-0.0684316,-1.08437,4.2209
0.596686,-0.0256203,-1.23125,4.34274
0.583638,0.0184218,-1.37916,4.46691
0.56911,0.0637137,-1.52707,4.59242
0.553108,0.110262,-1.67354,4.71764
0.535655,0.158053,-1.81653,4.84015
0.516799,0.207043,-1.95323,4.95643
0.496622,0.257146,-2.07982,5.06157
0.475248,0.308221,-2.19138,5.14916
0.452859,0.360052,-2.28201,5.21146
0.429695,0.412344,-2.34551,5.24029
0.406056,0.464725,-2.37666,5.22871
0.382281,0.516768,-2.37274,5.1731
0.35872,0.568037,-2.33464,5.07461
0.335693,0.618131,-2.26689,4.93911
0.313462,0.666722,-2.17639,4.77557
0.292216,0.713581,-2.0708,4.5938
0.27207,0.758571,-1.95706,4.40262
0.253078,0.801632,-1.84072,4.20893
0.235245,0.842766,-1.72574,4.01748
0.218543,0.882009,-1.61471,3.83127
0.202925,0.919423,-1.50914,3.65189
0.188333,0.95508,-1.40984,3.48003
0.174701,0.989057,-1.31708,3.31576
0.161964,1.02143,-1.23086,3.1588
0.150058,1.05226,-1.15098,3.00866
0.13892,1.08163,-1.07714,2.86477
0.128492,1.10958,-1.00901,2.72652
0.118719,1.13618,-0.946218,2.59333
0.109549,1.16146,-0.888418,2.46464
0.100933,1.18549,-0.835266,2.33992
0.0928269,1.20828,-0.78644,2.21871
0.085189,1.22987,-0.74164,2.10057
0.0779801,1.2503,-0.700583,1.98513
0.0711644,1.26958,-0.663008,1.87203
0.064708,1.28775,-0.628668,1.76099
0.05858,1.30481,-0.597335,1.65172
0.0527511,1.32079,-0.568794,1.544
0.0471946,1.3357,-0.54284,1.4376
0.0418856,1.34954,-0.519281,1.33235
0.036801,1.36235,-0.497932,1.22809
0.0319195,1.37411,-0.478617,1.12467
0.0272218,1.38484,-0.461163,1.02196
0.0226901,1.39455,-0.445406,0.919869
0.0183081,1.40324,-0.431184,0.818291
0.0140613,1.41092,-0.418338,0.717147
0.00993674,1.41759,-0.406714,0.616368
0.00592297,1.42325,-0.396159,0.515894
0.00201005,1.42791,-0.386521,0.415674
-0.00181046,1.43156,-0.377651,0.315665
-0.00554549,1.43422,-0.369401,0.215831
-0.0092005,1.43588,-0.361624,0.11614
-0.0127795,1.43654,-0.354171,0.0165689
-0.016285,1.43621,-0.346899,-0.0829048
-0.019718,1.43489,-0.33966,-0.182298
-0.0230782,1.43257,-0.33231,-0.281626
-0.0263638,1.42925,-0.324706,-0.3809
-0.0295714,1.42495,-0.316702,-0.480132
-0.0326964,1.41965,-0.308156,-0.579333
-0.0357327,1.41336,-0.298925,-0.678512
-0.0386726,1.40608,-0.288867,-0.777681
-0.0415072,1.39781,-0.277841,-0.876852
-0.0442261,1.38854,-0.265708,-0.97604
-0.0468176,1.37829,-0.252329,-1.07526
-0.0492685,1.36704,-0.237565,-1.17454
-0.0515643,1.3548,-0.221281,-1.27389
-0.0536891,1.34156,-0.203341,-1.37336
-0.0556256,1.32733,-0.183613,-1.47297
-0.0573554,1.3121,-0.161965,-1.57278
-0.0588586,1.29587,-0.138268,-1.67282
-0.0601141,1.27864,-0.112393,-1.77316
-0.0610994,1.26041,-0.0842169,-1.87387
-0.061791,1.24116,-0.0536148,-1.97502
-0.0621639,1.22091,-0.0204664,-2.07672
-0.0621922,1.19963,0.0153465,-2.17905
-0.0618485,1.17732,0.0539394,-2.28213
-0.0611047,1.15398,0.0954248,-2.3861
-0.0599311,1.1296,0.139912,-2.49108
-0.0582973,1.10416,0.187505,-2.59724
-0.0561718,1.07765,0.238305,-2.70474
-0.0535219,1.05006,0.292405,-2.81376
-0.0503143,1.02137,0.349891,-2.92449
-0.0465147,0.991566,0.410838,-3.03713
-0.0420882,0.960624,0.475308,-3.15186
-0.0369995,0.928524,0.543343,-3.26889
-0.0312127,0.895242,0.614961,-3.3884
-0.0246921,0.860752,0.690143,-3.51054
-0.0174024,0.825027,0.768827,-3.63543
-0.00930908,0.788039,0.850886,-3.76312
-0.000379329,0.749761,0.936112,-3.89356
0.00941705,0.710166,1.02418,-4.02658
0.0201064,0.669229,1.11463,-4.16181
0.0317095,0.626932,1.20679,-4.29865
0.0442393,0.583261,1.29974,-4.43613
0.0576979,0.538218,1.39219,-4.57284
0.0720724,0.491818,1.48244,-4.70678
0.0873301,0.444103,1.56817,-4.83517
0.103411,0.395146,1.64636,-4.95428
0.120222,0.345061,1.7132,-5.05934
0.137627,0.29402,1.76408,-5.14456
0.155438,0.242253,1.79397,-5.20356
0.173423,0.190053,1.79804,-5.2303
0.191301,0.137769,1.77271,-5.22034
0.208772,0.085777,1.71666,-5.17224
0.225532,0.0344499,1.63135,-5.08813
0.24131,-0.0158783,1.5208,-4.97344
0.25588,-0.0649382,1.39066,-4.83553
0.269077,-0.112537,1.24698,-4.68217
0.280795,-0.158556,1.09535,-4.52032
0.290976,-0.202938,0.940287,-4.35547
0.299605,-0.245674,0.78518,-4.19149
0.306692,-0.286785,0.632352,-4.03089
0.312269,-0.326314,0.483302,-3.87506
0.316378,-0.36431,0.338914,-3.72461
0.319069,-0.400829,0.199651,-3.57963
0.320393,-0.435924,0.0656987,-3.43986
0.320404,-0.469646,-0.0629312,-3.30488
0.319154,-0.502039,-0.186329,-3.17414
0.316696,-0.533144,-0.304641,-3.04706
0.31308,-0.562993,-0.41804,-2.92308
0.308353,-0.591615,-0.526705,-2.80161
0.302562,-0.619033,-0.630816,-2.68215
0.295752,-0.645264,-0.730541,-2.56421
0.287966,-0.670321,-0.82604,-2.44736
0.279245,-0.694214,-0.917463,-2.33119
0.26963,-0.716947,-1.00495,-2.21537
0.259159,-0.738521,-1.08863,-2.09959
